,owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
0,1011,'2021-08-17 11:52:15,창문,낮잠기상,낮잠 기상하기,,,,,,,,
1,1011,'2021-08-17 12:51:03,부동,휴식,취미활동,,,,,,,,
2,1011,'2021-08-17 13:31:04,부동,낮잠,낮잠자기,,,,,,,,
3,1011,'2021-08-17 18:11:03,활동,낮잠기상,낮잠 기상하기,,,,,,,,
4,1011,'2021-08-17 19:01:03,부동,낮잠,낮잠자기,,,,,,,,
5,1011,'2021-08-17 20:01:03,부동,취침,수면,,,,,,,,
6,1011,'2021-08-17 20:11:04,미동,기상,기상하기,,,,,,,,
7,1011,'2021-08-17 21:01:04,부동,취침,수면,,,,,,,,
8,1011,'2021-08-18 08:02:06,미동,기상,기상하기,,,,,,,,
9,1011,'2021-08-18 09:01:04,부동,취침,수면,,,,,,,,
