,owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
0,1026,'2021-08-04 13:26:09,미동,낮잠,낮잠자기,,,,,,,,
1,1026,'2021-08-04 20:06:08,부동,취침,수면,,,,,,,,
2,1026,'2021-08-05 10:06:07,부동,낮잠,낮잠자기,,,,,,,,
3,1026,'2021-08-05 20:06:09,미동,취침,수면,,,,,,,,
4,1026,'2021-08-06 10:06:07,부동,낮잠,낮잠자기,,,,,,,,
5,1026,'2021-08-06 13:56:08,미동,낮잠기상,낮잠 기상하기,,,,,,,,
6,1026,'2021-08-06 17:37:54,부동,휴식,취미활동,,,,,,,,
7,1026,'2021-08-06 23:26:07,부동,취침,수면,,,,,,,,
8,1026,'2021-08-18 15:42:40,냉장고,기상,기상하기,,,,,,,,
9,1026,'2021-08-18 15:46:23,미동,외출,외출하기,,,,,,,,
10,1026,'2021-08-18 16:01:36,싱크대,"귀가, 주방정리",귀가하기,,,,,,,,
11,1026,'2021-08-18 16:01:36,싱크대,"귀가, 주방정리",주방 정리하기,,,,,,,,
12,1026,'2021-08-18 16:10:18,리모콘,TV시청,TV 보기,,,,,,,,
13,1026,'2021-08-18 18:56:09,부동,휴식,취미활동,,,,,,,,
14,1026,'2021-08-18 20:21:45,리모콘,TV시청,TV 보기,,,,,,,,
15,1026,'2021-08-18 20:28:04,싱크대,주방정리,주방 정리하기,,,,,,,,
16,1026,'2021-08-18 20:41:49,리모콘,TV시청,TV 보기,,,,,,,,
17,1026,'2021-08-18 22:16:01,부동,취침,수면,,,,,,,,
18,1026,'2021-08-19 05:25:59,미동,기상,기상하기,,,,,,,,
19,1026,'2021-08-19 06:06:02,부동,취침,수면,,,,,,,,
20,1026,'2021-08-19 07:14:41,리모콘,기상,기상하기,,,,,,,,
21,1026,'2021-08-19 07:16:50,변기,용변,화장실 이용,,,,,,,,
22,1026,'2021-08-19 07:26:44,싱크대,주방정리,주방 정리하기,,,,,,,,
23,1026,'2021-08-19 07:32:18,냉장고,음식출납,음식 꺼내기,,,,,,,,
24,1026,'2021-08-19 07:42:18,식사 판단,아침식사,조식,,,,,,,,
25,1026,'2021-08-19 07:52:01,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
26,1026,'2021-08-19 08:18:58,변기,용변,화장실 이용,,,,,,,,
27,1026,'2021-08-19 08:19:51,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
28,1026,'2021-08-19 09:26:25,부동,휴식,취미활동,,,,,,,,
29,1026,'2021-08-19 09:35:42,리모콘,TV시청,TV 보기,,,,,,,,
30,1026,'2021-08-19 10:36:04,부동,휴식,취미활동,,,,,,,,
31,1026,'2021-08-19 11:05:24,리모콘,TV시청,TV 보기,,,,,,,,
32,1026,'2021-08-19 11:46:02,부동,휴식,취미활동,,,,,,,,
33,1026,'2021-08-19 14:18:14,리모콘,TV시청,TV 보기,,,,,,,,
34,1026,'2021-08-19 16:38:43,싱크대,주방정리,주방 정리하기,,,,,,,,
35,1026,'2021-08-19 16:43:49,리모콘,TV시청,TV 보기,,,,,,,,
36,1026,'2021-08-19 16:57:21,싱크대,주방정리,주방 정리하기,,,,,,,,
37,1026,'2021-08-19 17:01:13,냉장고,음식출납,음식 꺼내기,,,,,,,,
38,1026,'2021-08-19 17:06:05,리모콘,TV시청,TV 보기,,,,,,,,
39,1026,'2021-08-19 17:11:13,식사 판단,간식,간식 먹기,,,,,,,,
40,1026,'2021-08-19 18:36:04,부동,휴식,취미활동,,,,,,,,
41,1026,'2021-08-19 19:48:22,리모콘,TV시청,TV 보기,,,,,,,,
42,1026,'2021-08-19 20:12:44,싱크대,주방정리,주방 정리하기,,,,,,,,
43,1026,'2021-08-19 20:35:38,냉장고,음식출납,음식 꺼내기,,,,,,,,
44,1026,'2021-08-19 20:35:56,싱크대,주방정리,주방 정리하기,,,,,,,,
45,1026,'2021-08-19 20:45:38,식사 판단,간식,간식 먹기,,,,,,,,
46,1026,'2021-08-19 20:55:51,싱크대,설거지,설거지 하기,,,,,,,,
47,1026,'2021-08-19 21:07:01,싱크대,주방정리,주방 정리하기,,,,,,,,
48,1026,'2021-08-19 21:54:44,리모콘,TV시청,TV 보기,,,,,,,,
49,1026,'2021-08-19 23:26:01,부동,취침,수면,,,,,,,,
50,1026,'2021-08-20 05:33:01,변기,"기상, 용변",기상하기,,,,,,,,
51,1026,'2021-08-20 05:33:01,변기,"기상, 용변",화장실 이용,,,,,,,,
52,1026,'2021-08-20 06:16:03,부동,취침,수면,,,,,,,,
53,1026,'2021-08-20 06:55:28,리모콘,"기상, TV시청",기상하기,,,,,,,,
54,1026,'2021-08-20 06:55:28,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
55,1026,'2021-08-20 07:03:22,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
56,1026,'2021-08-20 07:04:44,싱크대,주방정리,주방 정리하기,,,,,,,,
57,1026,'2021-08-20 07:13:22,식사 판단,아침식사,조식,,,,,,,,
58,1026,'2021-08-20 07:13:38,싱크대,설거지,설거지 하기,,,,,,,,
59,1026,'2021-08-20 07:35:37,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
60,1026,'2021-08-20 08:00:24,리모콘,TV시청,TV 보기,,,,,,,,
61,1026,'2021-08-20 08:10:37,싱크대,주방정리,주방 정리하기,,,,,,,,
62,1026,'2021-08-20 08:13:33,리모콘,TV시청,TV 보기,,,,,,,,
63,1026,'2021-08-20 08:14:13,싱크대,주방정리,주방 정리하기,,,,,,,,
64,1026,'2021-08-20 08:40:00,리모콘,TV시청,TV 보기,,,,,,,,
65,1026,'2021-08-20 09:57:48,부동,휴식,취미활동,,,,,,,,
66,1026,'2021-08-20 12:16:22,리모콘,TV시청,TV 보기,,,,,,,,
67,1026,'2021-08-20 12:21:57,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
68,1026,'2021-08-20 12:23:12,싱크대,주방정리,주방 정리하기,,,,,,,,
69,1026,'2021-08-20 12:31:57,식사 판단,점심식사,중식,,,,,,,,
