,owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
391,1018,'2021-08-14 15:31:14,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
392,1018,'2021-08-14 15:31:23,리모콘,TV시청,TV 보기,,,,,,,,
393,1018,'2021-08-14 16:48:08,부동,낮잠,낮잠자기,,,,,,,,
394,1018,'2021-08-14 18:55:09,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
395,1018,'2021-08-14 18:57:37,리모콘,TV시청,TV 보기,,,,,,,,
396,1018,'2021-08-14 19:35:32,창문,환기,집 환기하기,,,,,,,,
397,1018,'2021-08-14 19:36:11,리모콘,TV시청,TV 보기,,,,,,,,
398,1018,'2021-08-14 20:11:59,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
399,1018,'2021-08-14 20:12:55,창문,환기,집 환기하기,,,,,,,,
400,1018,'2021-08-14 20:16:30,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
401,1018,'2021-08-14 20:26:30,식사 판단,간식,간식 먹기,,,,,,,,
402,1018,'2021-08-14 20:53:47,리모콘,TV시청,TV 보기,,,,,,,,
403,1018,'2021-08-14 21:38:09,부동,취침,수면,,,,,,,,
404,1018,'2021-08-14 21:45:41,창문,기상,기상하기,,,,,,,,
405,1018,'2021-08-14 21:47:05,리모콘,TV시청,뉴스 시청,,,,,,,,
406,1018,'2021-08-14 22:28:08,부동,취침,수면,,,,,,,,
407,1018,'2021-08-14 22:50:41,창문,기상,기상하기,,,,,,,,
408,1018,'2021-08-14 22:50:53,창문,환기,날씨 확인하기,,,,,,,,
409,1018,'2021-08-14 23:38:09,부동,취침,수면,,,,,,,,
410,1018,'2021-08-15 05:08:08,미동,기상,기상하기,,,,,,,,
411,1018,'2021-08-15 05:58:09,부동,취침,수면,,,,,,,,
412,1018,'2021-08-15 07:01:04,창문,기상,기상하기,,,,,,,,
413,1018,'2021-08-15 07:48:09,부동,취침,수면,,,,,,,,
414,1018,'2021-08-15 08:33:37,리모콘,기상,기상하기,,,,,,,,
415,1018,'2021-08-15 08:34:40,리모콘,TV시청,뉴스 시청,,,,,,,,
416,1018,'2021-08-15 09:18:09,부동,취침,수면,,,,,,,,
417,1018,'2021-08-15 09:38:08,미동,기상,기상하기,,,,,,,,
418,1018,'2021-08-15 09:40:34,리모콘,TV시청,뉴스 시청,,,,,,,,
419,1018,'2021-08-15 10:38:09,부동,낮잠,낮잠자기,,,,,,,,
420,1018,'2021-08-15 12:49:52,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
421,1018,'2021-08-15 12:51:00,리모콘,TV시청,TV 보기,,,,,,,,
422,1018,'2021-08-15 14:18:09,부동,낮잠,낮잠자기,,,,,,,,
423,1018,'2021-08-15 14:22:21,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
424,1018,'2021-08-15 14:22:32,리모콘,TV시청,TV 보기,,,,,,,,
425,1018,'2021-08-15 15:05:00,창문,환기,집 환기하기,,,,,,,,
426,1018,'2021-08-15 15:48:09,부동,낮잠,낮잠자기,,,,,,,,
427,1018,'2021-08-15 17:30:14,냉장고,낮잠기상,낮잠 기상하기,,,,,,,,
428,1018,'2021-08-15 17:30:25,냉장고,음식출납,음식 꺼내기,,,,,,,,
429,1018,'2021-08-15 17:40:25,식사 판단,간식,간식 먹기,,,,,,,,
430,1018,'2021-08-15 18:38:08,부동,낮잠,낮잠자기,,,,,,,,
431,1018,'2021-08-15 19:36:14,창문,낮잠기상,낮잠 기상하기,,,,,,,,
432,1018,'2021-08-15 19:36:25,창문,환기,집 환기하기,,,,,,,,
433,1018,'2021-08-15 19:37:41,리모콘,TV시청,TV 보기,,,,,,,,
434,1018,'2021-08-15 20:18:57,창문,환기,집 환기하기,,,,,,,,
435,1018,'2021-08-15 20:55:05,리모콘,TV시청,TV 보기,,,,,,,,
436,1018,'2021-08-15 21:38:08,부동,취침,수면,,,,,,,,
437,1018,'2021-08-15 21:42:08,리모콘,기상,기상하기,,,,,,,,
438,1018,'2021-08-15 21:42:27,리모콘,TV시청,뉴스 시청,,,,,,,,
439,1018,'2021-08-15 21:54:38,창문,환기,집 환기하기,,,,,,,,
440,1018,'2021-08-15 22:01:24,리모콘,TV시청,TV 보기,,,,,,,,
441,1018,'2021-08-15 22:38:08,부동,취침,수면,,,,,,,,
442,1018,'2021-08-15 23:19:20,리모콘,기상,기상하기,,,,,,,,
443,1018,'2021-08-15 23:19:31,리모콘,TV시청,뉴스 시청,,,,,,,,
444,1018,'2021-08-15 23:58:03,부동,취침,수면,,,,,,,,
445,1018,'2021-08-16 05:08:09,미동,기상,기상하기,,,,,,,,
446,1018,'2021-08-16 05:58:10,부동,취침,수면,,,,,,,,
447,1018,'2021-08-16 08:07:25,창문,기상,기상하기,,,,,,,,
448,1018,'2021-08-16 08:48:10,부동,취침,수면,,,,,,,,
449,1018,'2021-08-16 10:08:09,부동,낮잠,낮잠자기,,,,,,,,
450,1018,'2021-08-16 11:02:27,창문,낮잠기상,낮잠 기상하기,,,,,,,,
451,1018,'2021-08-16 11:02:39,창문,환기,집 환기하기,,,,,,,,
452,1018,'2021-08-16 11:48:10,부동,휴식,취미활동,,,,,,,,
453,1018,'2021-08-16 11:58:09,부동,낮잠,낮잠자기,,,,,,,,
454,1018,'2021-08-16 12:09:42,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
455,1018,'2021-08-16 12:42:36,리모콘,TV시청,TV 보기,,,,,,,,
456,1018,'2021-08-16 13:12:39,창문,환기,집 환기하기,,,,,,,,
457,1018,'2021-08-16 13:12:43,리모콘,TV시청,TV 보기,,,,,,,,
458,1018,'2021-08-16 14:48:09,부동,낮잠,낮잠자기,,,,,,,,
459,1018,'2021-08-16 17:23:24,창문,낮잠기상,낮잠 기상하기,,,,,,,,
460,1018,'2021-08-16 17:33:05,창문,환기,집 환기하기,,,,,,,,
461,1018,'2021-08-16 17:40:44,리모콘,TV시청,TV 보기,,,,,,,,
462,1018,'2021-08-16 18:28:09,부동,낮잠,낮잠자기,,,,,,,,
463,1018,'2021-08-16 19:00:41,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
464,1018,'2021-08-16 19:25:10,리모콘,TV시청,TV 보기,,,,,,,,
465,1018,'2021-08-16 19:41:09,창문,환기,집 환기하기,,,,,,,,
466,1018,'2021-08-16 19:47:29,리모콘,TV시청,TV 보기,,,,,,,,
467,1018,'2021-08-16 21:42:51,창문,환기,집 환기하기,,,,,,,,
468,1018,'2021-08-16 21:43:05,리모콘,TV시청,TV 보기,,,,,,,,
469,1018,'2021-08-16 23:28:09,부동,취침,수면,,,,,,,,
470,1018,'2021-08-17 00:19:01,창문,"이른기상, 환기",이른 기상하기,,,,,,,,
471,1018,'2021-08-17 00:19:01,창문,"이른기상, 환기",날씨 확인하기,,,,,,,,
472,1018,'2021-08-17 01:18:09,부동,취침,수면,,,,,,,,
473,1018,'2021-08-17 05:08:09,미동,기상,기상하기,,,,,,,,
474,1018,'2021-08-17 05:58:09,부동,취침,수면,,,,,,,,
475,1018,'2021-08-17 09:13:29,창문,기상,기상하기,,,,,,,,
476,1018,'2021-08-17 09:13:35,창문,환기,날씨 확인하기,,,,,,,,
477,1018,'2021-08-17 09:58:08,부동,휴식,취미활동,,,,,,,,
478,1018,'2021-08-17 10:08:06,부동,낮잠,낮잠자기,,,,,,,,
479,1018,'2021-08-17 10:50:36,창문,낮잠기상,낮잠 기상하기,,,,,,,,
480,1018,'2021-08-17 11:38:09,부동,낮잠,낮잠자기,,,,,,,,
481,1018,'2021-08-17 12:57:44,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
482,1018,'2021-08-17 12:58:34,리모콘,TV시청,TV 보기,,,,,,,,
483,1018,'2021-08-17 13:48:09,부동,낮잠,낮잠자기,,,,,,,,
484,1018,'2021-08-17 15:37:20,창문,낮잠기상,낮잠 기상하기,,,,,,,,
485,1018,'2021-08-17 15:37:57,창문,환기,집 환기하기,,,,,,,,
486,1018,'2021-08-17 15:49:07,리모콘,TV시청,TV 보기,,,,,,,,
487,1018,'2021-08-17 15:52:29,창문,환기,집 환기하기,,,,,,,,
488,1018,'2021-08-17 17:08:09,부동,휴식,취미활동,,,,,,,,
489,1018,'2021-08-17 17:18:09,부동,낮잠,낮잠자기,,,,,,,,
490,1018,'2021-08-17 19:00:54,창문,낮잠기상,낮잠 기상하기,,,,,,,,
491,1018,'2021-08-17 19:01:04,창문,환기,집 환기하기,,,,,,,,
492,1018,'2021-08-17 19:11:13,리모콘,TV시청,TV 보기,,,,,,,,
493,1018,'2021-08-17 21:14:04,창문,환기,집 환기하기,,,,,,,,
494,1018,'2021-08-17 21:52:04,리모콘,TV시청,TV 보기,,,,,,,,
495,1018,'2021-08-17 22:38:10,부동,취침,수면,,,,,,,,
496,1018,'2021-08-17 22:50:45,리모콘,기상,기상하기,,,,,,,,
497,1018,'2021-08-17 23:38:09,부동,취침,수면,,,,,,,,
498,1018,'2021-08-18 05:08:10,미동,기상,기상하기,,,,,,,,
499,1018,'2021-08-18 05:58:10,부동,취침,수면,,,,,,,,
500,1018,'2021-08-18 05:59:52,창문,기상,기상하기,,,,,,,,
501,1018,'2021-08-18 06:48:10,부동,취침,수면,,,,,,,,
502,1018,'2021-08-18 08:56:25,창문,기상,기상하기,,,,,,,,
503,1018,'2021-08-18 08:56:36,창문,환기,날씨 확인하기,,,,,,,,
504,1018,'2021-08-18 09:38:10,부동,취침,수면,,,,,,,,
505,1018,'2021-08-18 09:48:04,미동,기상,기상하기,,,,,,,,
506,1018,'2021-08-18 10:22:10,창문,환기,집 환기하기,,,,,,,,
507,1018,'2021-08-18 10:24:44,리모콘,TV시청,TV 보기,,,,,,,,
508,1018,'2021-08-18 11:08:10,부동,낮잠,낮잠자기,,,,,,,,
509,1018,'2021-08-18 13:35:40,창문,낮잠기상,낮잠 기상하기,,,,,,,,
510,1018,'2021-08-18 13:35:48,리모콘,TV시청,TV 보기,,,,,,,,
511,1018,'2021-08-18 14:18:10,부동,휴식,취미활동,,,,,,,,
512,1018,'2021-08-18 14:28:10,부동,낮잠,낮잠자기,,,,,,,,
513,1018,'2021-08-18 15:42:21,창문,낮잠기상,낮잠 기상하기,,,,,,,,
514,1018,'2021-08-18 15:42:25,리모콘,TV시청,TV 보기,,,,,,,,
515,1018,'2021-08-18 16:38:09,부동,휴식,취미활동,,,,,,,,
516,1018,'2021-08-18 16:58:10,부동,낮잠,낮잠자기,,,,,,,,
517,1018,'2021-08-18 18:07:09,창문,낮잠기상,낮잠 기상하기,,,,,,,,
518,1018,'2021-08-18 18:08:04,리모콘,TV시청,TV 보기,,,,,,,,
519,1018,'2021-08-18 19:08:10,부동,낮잠,낮잠자기,,,,,,,,
520,1018,'2021-08-18 20:08:10,부동,취침,수면,,,,,,,,
521,1018,'2021-08-18 20:51:16,창문,기상,기상하기,,,,,,,,
522,1018,'2021-08-18 20:51:27,창문,환기,날씨 확인하기,,,,,,,,
523,1018,'2021-08-18 21:42:35,창문,환기,집 환기하기,,,,,,,,
524,1018,'2021-08-18 21:42:42,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
525,1018,'2021-08-18 21:43:32,리모콘,TV시청,TV 보기,,,,,,,,
526,1018,'2021-08-18 21:46:49,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
527,1018,'2021-08-18 21:52:42,식사 판단,간식,간식 먹기,,,,,,,,
528,1018,'2021-08-18 21:58:05,창문,환기,집 환기하기,,,,,,,,
529,1018,'2021-08-18 22:07:04,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
530,1018,'2021-08-18 22:38:08,부동,취침,수면,,,,,,,,
531,1018,'2021-08-19 05:08:10,미동,기상,기상하기,,,,,,,,
532,1018,'2021-08-19 05:58:10,부동,취침,수면,,,,,,,,
533,1018,'2021-08-19 06:51:04,창문,기상,기상하기,,,,,,,,
534,1018,'2021-08-19 07:38:10,부동,취침,수면,,,,,,,,
535,1018,'2021-08-19 09:12:58,리모콘,기상,기상하기,,,,,,,,
536,1018,'2021-08-19 09:13:09,리모콘,TV시청,뉴스 시청,,,,,,,,
537,1018,'2021-08-19 09:58:09,부동,취침,수면,,,,,,,,
538,1018,'2021-08-19 10:05:31,창문,기상,기상하기,,,,,,,,
539,1018,'2021-08-19 10:05:42,창문,환기,날씨 확인하기,,,,,,,,
540,1018,'2021-08-19 10:40:26,창문,환기,집 환기하기,,,,,,,,
541,1018,'2021-08-19 10:40:38,리모콘,TV시청,TV 보기,,,,,,,,
542,1018,'2021-08-19 12:18:10,부동,낮잠,낮잠자기,,,,,,,,
543,1018,'2021-08-19 14:40:39,전자렌지,낮잠기상,낮잠 기상하기,,,,,,,,
544,1018,'2021-08-19 14:41:06,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
545,1018,'2021-08-19 14:51:06,식사 판단,간식,간식 먹기,,,,,,,,
546,1018,'2021-08-19 15:28:10,부동,낮잠,낮잠자기,,,,,,,,
547,1018,'2021-08-19 18:42:51,창문,낮잠기상,낮잠 기상하기,,,,,,,,
548,1018,'2021-08-19 18:43:02,창문,환기,집 환기하기,,,,,,,,
549,1018,'2021-08-19 18:45:06,리모콘,TV시청,TV 보기,,,,,,,,
550,1018,'2021-08-19 20:29:42,창문,환기,집 환기하기,,,,,,,,
551,1018,'2021-08-19 20:32:47,리모콘,TV시청,TV 보기,,,,,,,,
552,1018,'2021-08-19 21:43:38,창문,환기,집 환기하기,,,,,,,,
553,1018,'2021-08-19 21:43:51,리모콘,TV시청,TV 보기,,,,,,,,
554,1018,'2021-08-19 22:28:09,부동,취침,수면,,,,,,,,
555,1018,'2021-08-20 05:08:03,미동,기상,기상하기,,,,,,,,
556,1018,'2021-08-20 05:58:09,부동,취침,수면,,,,,,,,
557,1018,'2021-08-20 09:24:12,창문,"기상, 환기",기상하기,,,,,,,,
558,1018,'2021-08-20 09:24:12,창문,"기상, 환기",날씨 확인하기,,,,,,,,
559,1018,'2021-08-20 09:27:25,리모콘,TV시청,TV 보기,,,,,,,,
560,1018,'2021-08-20 10:18:09,부동,휴식,취미활동,,,,,,,,
561,1018,'2021-08-20 10:28:09,부동,낮잠,낮잠자기,,,,,,,,
562,1018,'2021-08-20 15:54:34,냉장고,낮잠기상,낮잠 기상하기,,,,,,,,
563,1018,'2021-08-20 15:54:39,냉장고,음식출납,음식 꺼내기,,,,,,,,
564,1018,'2021-08-20 16:04:39,식사 판단,간식,간식 먹기,,,,,,,,
565,1018,'2021-08-20 16:58:09,부동,휴식,취미활동,,,,,,,,
566,1018,'2021-08-20 17:28:09,부동,낮잠,낮잠자기,,,,,,,,
567,1018,'2021-08-20 17:39:45,창문,낮잠기상,낮잠 기상하기,,,,,,,,
568,1018,'2021-08-20 18:28:08,부동,휴식,취미활동,,,,,,,,
569,1018,'2021-08-20 18:38:08,부동,낮잠,낮잠자기,,,,,,,,
570,1018,'2021-08-20 18:38:40,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
571,1018,'2021-08-20 19:28:09,부동,낮잠,낮잠자기,,,,,,,,
572,1018,'2021-08-20 19:55:16,리모콘,낮잠기상,낮잠 기상하기,,,,,,,,
573,1018,'2021-08-20 20:38:08,부동,취침,수면,,,,,,,,
574,1018,'2021-08-20 21:47:56,리모콘,"기상, TV시청",기상하기,,,,,,,,
575,1018,'2021-08-20 21:47:56,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
576,1018,'2021-08-20 21:53:55,창문,환기,집 환기하기,,,,,,,,
577,1018,'2021-08-20 21:57:53,리모콘,TV시청,TV 보기,,,,,,,,
578,1018,'2021-08-20 22:38:08,부동,취침,수면,,,,,,,,
579,1018,'2021-08-21 05:08:09,미동,기상,기상하기,,,,,,,,
580,1018,'2021-08-21 05:58:08,부동,취침,수면,,,,,,,,
581,1018,'2021-08-21 06:02:55,창문,"기상, 환기",기상하기,,,,,,,,
582,1018,'2021-08-21 06:02:55,창문,"기상, 환기",날씨 확인하기,,,,,,,,
583,1018,'2021-08-21 06:47:47,창문,환기,집 환기하기,,,,,,,,
584,1018,'2021-08-21 07:28:08,부동,취침,수면,,,,,,,,
585,1018,'2021-08-21 08:23:18,창문,"기상, 환기",기상하기,,,,,,,,
